event_id,fatality_count,injury_count,country_name
7402,0,0,Colombia
6928,4,0,India
9488,0,0,United States
1931,30,,China
7031,0,0,India
1392,1,,Nepal
6627,0,0,United States
9351,3,0,India
3547,2,,Sri Lanka
7932,0,0,India
7024,0,0,United States
2287,0,,Nepal
4535,,,India
1264,2,,Indonesia
7722,0,0,Philippines
8622,0,0,United States
6210,0,0,Thailand
4514,,,India
2370,24,,China
7084,0,0,India
4498,,,India
3354,0,,Malawi
5834,1,1,Bangladesh
3697,0,,Nepal
7505,0,0,Panama
1157,,,India
13,24,,Indonesia
3119,0,,Ecuador
9073,1,0,Myanmar [Burma]
2971,0,,Brazil
4994,0,,United States
9291,0,0,Kyrgyzstan
1816,0,,United States
9554,0,0,Ghana
5925,0,0,United States
4829,,,United States
4595,1,,Philippines
4211,0,,Philippines
300,6,,China
2460,0,,India
9102,0,0,United Kingdom
3214,0,,United States
6683,0,0,El Salvador
2949,0,,Sri Lanka
2025,1,,India
3657,0,,China
1238,3,,Philippines
736,1,,Philippines
3099,0,,Pakistan
8121,0,0,United States
2435,0,,Pakistan
1229,3,,Nepal
7476,0,0,Nicaragua
1697,0,,Brazil
9405,0,0,India
1718,0,,Brazil
6962,0,0,India
2038,0,,Indonesia
3906,7,,Uganda
9534,0,0,Canada
1282,,,United Kingdom
1908,0,,India
3068,0,,New Zealand
1364,1,,Argentina
8101,0,0,United States
6164,0,0,Nepal
6553,1,0,Nepal
4437,32,,Uganda
6549,3,0,Nepal
5496,0,,United States
1530,0,,United States
8979,18,0,Indonesia
6023,0,0,United States
5343,,,India
8490,0,0,United States
6026,0,0,United States
6971,2,2,India
6492,0,0,United States
7575,0,0,United States
3249,0,,United States
5392,0,,Vietnam
8525,0,0,United States
3312,0,,Pakistan
4744,,,Vietnam
1605,0,,United States
7564,0,0,United States
5674,0,,Malaysia
2589,1,,Thailand
8432,0,0,United States
9176,0,0,United States
6526,0,0,Nepal
6475,0,0,United States
4776,,,United States
6844,0,0,United States
57,,,India
1611,3,,India
8321,0,0,Canada
9491,31,46,Egypt
3242,0,,United States
3498,0,,United States
366,,,Philippines
4884,0,,United States
3905,0,,India
4361,1,,Guatemala
8024,0,0,United States
6778,0,0,United States
9440,3,0,Pakistan
3142,0,,Sri Lanka
5443,,,Nepal
2015,0,,India
541,12,,Philippines
5802,0,0,Philippines
4771,0,,United States
7360,0,0,Malaysia
934,,,United States
3749,0,,India
674,1,,Taiwan
7955,0,0,United States
6228,0,0,Malaysia
244,,,Kenya
8043,0,0,United States
147,,,India
1393,3,,Ecuador
4907,0,,United States
8246,0,0,United States
7315,0,0,Nepal
5801,0,0,Philippines
3145,0,,United States
6574,0,0,United States
3188,0,,United States
2894,0,,United States
499,,,United States
8732,0,0,United States
2233,0,,Jamaica
3962,0,,Switzerland
4192,0,,Philippines
3160,1,,Italy
6886,0,0,United States
5756,0,0,United Kingdom
4545,16,,Vietnam
1014,1,,Colombia
997,0,,United States
5475,0,,Guatemala
1191,1,,Philippines
1441,0,,United States
3452,2,,Colombia
1189,3,,Turkey
71,,,Fiji
3768,0,,China
6231,5,0,China
3391,0,,United States
2548,0,,China
393,,,Puerto Rico
9492,0,0,United States
2506,0,,China
5204,0,,United Kingdom
6189,0,0,India
3032,0,,Norway
1004,12,,Peru
6358,5,0,India
9089,0,0,United States
953,,,United States
6129,0,4,Philippines
4541,,,South Africa
5624,0,,Canada
1558,0,,Russia
5449,8,3,Nigeria
9040,0,0,China
4382,,,India
4148,1,,Swaziland
8527,0,0,United States
2329,3,,Indonesia
8367,0,0,India
1741,0,,Fiji
7787,0,0,United States
8548,0,0,United States
9062,0,0,Kenya
5932,0,0,United States
6824,0,0,United States
8049,0,0,United States
5757,0,0,United States
9640,0,0,United States
2348,0,,Guatemala
107,,,Ecuador
3398,0,,Colombia
5446,0,,Nepal
4747,1,,Indonesia
5003,0,,United States
1542,3,,Uganda
9431,2,0,Pakistan
7126,2,0,Pakistan
1512,0,,United States
8130,0,0,United States
2535,0,,United Kingdom
5388,0,,Australia
3118,0,,United States
5803,4,1,China
777,,,Malaysia
1112,0,,India
100,,,India
639,3,,China
7437,0,0,Belize
8626,0,0,United States
2424,0,,India
9166,,,India
2308,7,,Vietnam
90,,,China
5342,0,,Nepal
2379,0,,India
6025,0,0,Bosnia and Herzegovina
4155,0,,United States
158,6,,Philippines
8271,0,0,United States
5302,,,Nepal
4267,0,,United States
5980,3,3,Indonesia
1823,0,,United States
2391,0,,India
1453,0,,United States
1896,0,,Indonesia
8328,0,0,United States
2784,91,,Colombia
3811,0,,United States
5877,0,0,United Kingdom
3425,0,,New Zealand
5722,1,1,Philippines
78,,,India
4961,0,,United States
8739,0,0,United States
1454,0,,United States
4548,4,,Indonesia
705,,,India
5638,0,,India
5097,1,,India
723,1,,Vietnam
8008,0,0,United States
4941,0,,New Zealand
2136,0,,India
8855,0,0,United States
5859,2,2,United States
5663,0,,United States
